X,Y,Station,Long,Lat,Province,City,Name,F/R,Road_Dist,DEM
197745.8471000000,451633.0547000000,111121,126.9744860000,37.5642290000,Seoul,Seoul,Jung-gu,Fixed,65.8205038360,44.1742111660
197565.6429000000,450526.6646000000,111122,126.9724500000,37.5542600000,Seoul,Seoul,Hangang-daero,Road,5.0956127518,31.9067325010
200443.8224000000,452496.8047000000,111123,127.0050240000,37.5720140000,Seoul,Seoul,Jongno-gu,Fixed,103.3433618300,27.9065914430
199837.7997000000,452126.7592000000,111124,126.9981640000,37.5686800000,Seoul,Seoul,Cheonggye Cheon,Road,10.9835239170,31.2421433190
199673.1346000000,452350.9605000000,111125,126.9963000000,37.5707000000,Seoul,Seoul,Jongno,Road,5.6863162492,29.6305540340
200427.5737000000,448949.5134000000,111131,127.0048380000,37.5400530000,Seoul,Seoul,Yongsan-gu,Fixed,68.5135582290,47.3913788320
208213.4329000000,449753.3407000000,111141,127.0929440000,37.5472590000,Seoul,Seoul,Gwangjin-gu,Fixed,3.1087997397,44.9718841710
203691.1446000000,449282.1758000000,111142,127.0417670000,37.5430430000,Seoul,Seoul,Seongdong-gu,Fixed,57.6289779900,15.5534307410
203827.7578000000,448736.9544000000,111143,127.0433100000,37.5381300000,Seoul,Seoul,Gangbyeonbuk-ro,Road,0.5011105262,20.6197886360
208303.0169000000,453928.4816000000,111151,127.0940050000,37.5848760000,Seoul,Seoul,Jungnang-gu,Fixed,28.4235699990,43.7602307620
202546.3713000000,452923.1570000000,111152,127.0288260000,37.5758520000,Seoul,Seoul,Dongdaemun-gu,Fixed,150.0098624000,21.4613331980
200697.0673000000,451768.2947000000,111153,127.0078900000,37.5654500000,Seoul,Seoul,Dongdaemun,Road,18.6652518760,30.4006437600
203968.6863000000,453439.5900000000,111154,127.0449300000,37.5805000000,Seoul,Seoul,Hongneung-ro,Road,7.2621455980,20.9049415260
202407.9262000000,456347.8961000000,111161,127.0272700000,37.6067090000,Seoul,Seoul,Seongbuk-gu,Fixed,53.1413051200,43.0606759920
200072.4042000000,456498.6029000000,111162,127.0008200000,37.6080700000,Seoul,Seoul,Naebusunwhan-ro,Road,1.3090716951,76.6196888790
202564.7924000000,461614.8394000000,111171,127.0290650000,37.6541630000,Seoul,Seoul,Dobong-gu,Fixed,90.2358812290,66.4579689810
194095.5088000000,456729.3430000000,111181,126.9331280000,37.6101300000,Seoul,Seoul,Eunpyeong-gu,Fixed,48.1903685290,44.9421398410
194507.9535000000,453019.7007000000,111191,126.9378270000,37.5767090000,Seoul,Seoul,Seodaemun-gu,Fixed,22.2381420090,85.3675182770
195183.7544000000,450039.6896000000,111201,126.9454970000,37.5498630000,Seoul,Seoul,Mapo-gu,Fixed,32.9103074890,22.6944554940
194363.4805000000,450610.3515000000,111202,126.9362100000,37.5550000000,Seoul,Seoul,Shinchon-ro,Road,16.3832564260,26.7369436910
185432.5391000000,449472.0393000000,111212,126.8351590000,37.5446460000,Seoul,Seoul,Gangseo-gu,Fixed,174.1963216400,22.1503744880
184464.0668000000,451177.9118000000,111213,126.8241640000,37.5600000000,Seoul,Seoul,Gonghangdae-ro,Road,0.7365767734,11.9383064910
190249.0468000000,444348.1274000000,111221,126.8897290000,37.4985430000,Seoul,Seoul,Guro-gu,Fixed,88.7784570910,18.6838592020
190927.0277000000,447274.4324000000,111231,126.8973600000,37.5249160000,Seoul,Seoul,Yeongdeungpo-gu,Fixed,79.4185101920,20.6207823700
191573.4971000000,446691.5111000000,111232,126.9046800000,37.5196700000,Seoul,Seoul,Yeongdeungpo,Road,15.5398115920,19.7488739990
197490.1137000000,442389.9801000000,111241,126.9716230000,37.4809480000,Seoul,Seoul,Dongjak-gu,Fixed,5.0873652435,32.1642031720
