X,Y,Station,Long,Lat,Province,City,Name,F/R,Road_Dist,DEM
198452.3374000000,443335.5749000000,111242,126.9825000000,37.4894700000,Seoul,Seoul,Donjakdae-ro,Road,4.9766879045,20.5391572550
193551.4581000000,443101.1933000000,111251,126.9270860000,37.4873370000,Seoul,Seoul,Gwanak-gu,Fixed,149.7241073900,27.5331972290
204204.3563000000,446446.4633000000,111261,127.0475580000,37.5174910000,Seoul,Seoul,Gangnam-gu,Fixed,42.1594334170,43.7358857660
199508.3843000000,445008.4633000000,111262,126.9944400000,37.5045440000,Seoul,Seoul,Seocho-gu,Fixed,12.1032249300,17.6600910060
201783.1577000000,446293.4281000000,111263,127.0201700000,37.5161200000,Seoul,Seoul,Dosan-dero,Road,11.6822855860,38.2320716470
203246.8802000000,442499.2238000000,111264,127.0367100000,37.4819300000,Seoul,Seoul,Gangnam-daero,Road,5.2975227677,33.6314996300
210201.3560000000,446765.1968000000,111273,127.1153980000,37.5203160000,Seoul,Seoul,Songpa-gu,Fixed,75.9660534780,31.2923326260
212088.2786000000,449508.4624000000,111274,127.1367880000,37.5450100000,Seoul,Seoul,Gangdong-gu,Fixed,135.2567289000,36.9809956460
212313.2145000000,448296.8025000000,111275,127.1393130000,37.5340900000,Seoul,Seoul,Cheonho-daero,Road,19.8646679400,30.6880003980
191886.5071000000,439225.3319000000,111281,126.9083030000,37.4524020000,Seoul,Seoul,Geumcheon-gu,Fixed,37.8484483540,30.4878691330
201045.1540000000,460915.6046000000,111291,127.0118430000,37.6478660000,Seoul,Seoul,Gangbuk-gu,Fixed,19.6400905910,50.6106968770
187321.6994000000,447392.0226000000,111301,126.8565720000,37.5259330000,Seoul,Seoul,Yangcheon-gu,Fixed,90.7366718470,17.4483797130
205987.0436000000,461985.3164000000,111311,127.0678500000,37.6574850000,Seoul,Seoul,Nowon-gu,Fixed,22.0248512590,34.6467922200
206652.3382000000,457628.9226000000,111312,127.0753500000,37.6182300000,Seoul,Seoul,Hwarang-ro,Road,11.6284513620,23.6674400910
208952.2925000000,431365.1992000000,131120,127.1010817000,37.3815731000,Gyeonggyi,Seongnam,Baekyun,Road,32.6549502300,59.1071155440
213756.1752000000,438890.4507000000,131121,127.1554630000,37.4493180000,Gyeonggyi,Seongnam,Dandae,Fixed,22.8024186680,85.0222315600
209879.4012000000,429130.6651000000,131123,127.1115200000,37.3614300000,Gyeonggyi,Seongnam,Jungja,Fixed,21.1565027220,58.6244718620
210550.5033000000,431483.9200000000,131124,127.1191290000,37.3826260000,Gyeonggyi,Seongnam,Sunae,Fixed,3.7673082679,43.4077178690
211300.5455000000,437198.7603000000,131125,127.1276853000,37.4341089000,Gyeonggyi,Seongnam,Moran,Road,40.9099659680,33.0107307640
211602.9292000000,439746.6552000000,131126,127.1311420000,37.4570620000,Gyeonggyi,Seongnam,Bokjeong,Fixed,208.1665869400,49.1074657930
206894.0495000000,432354.2219000000,131128,127.0778510000,37.3905020000,Gyeonggyi,Seongnam,Unjung,Fixed,14.4975611490,73.7393014750
214544.2546000000,437098.6921000000,131129,127.1643340000,37.4331620000,Gyeonggyi,Seongnam,Sangdaewon,Fixed,10.6270751500,73.6181310800
203559.3711000000,470652.9612000000,131131,127.0403800000,37.7355910000,Gyeonggyi,Uijeongbu,Uijeongbu,Fixed,35.1502235420,47.2250753010
204192.6268000000,471850.7472000000,131132,127.0475710000,37.7463800000,Gyeonggyi,Uijeongbu,Uijeongbu 1dong,Fixed,74.6824132920,49.3078933450
193853.0440000000,432299.0343000000,131141,126.9305860000,37.3900100000,Gyeonggyi,Anyang,Anyang 6,Fixed,15.6868502530,45.9467595610
196251.0624000000,432776.4037000000,131142,126.9576630000,37.3943240000,Gyeonggyi,Anyang,Burim,Fixed,80.5395073900,39.4402647270
195808.5547000000,431316.7178000000,131144,126.9526740000,37.3811700000,Gyeonggyi,Anyang,Hogye,Fixed,20.0939574970,46.1296927290
192722.3234000000,433970.0482000000,131145,126.9178010000,37.4050580000,Gyeonggyi,Anyang,Anyang 2,Fixed,16.9348832430,29.1750597490
188481.4036000000,441869.2697000000,131161,126.8697780000,37.4761880000,Gyeonggyi,Gwangmyeong,Cheolsan,Fixed,12.4737587270,19.3414094860
189817.7745000000,439200.4103000000,131163,126.8849230000,37.4521570000,Gyeonggyi,Gwangmyeong,Soha,Fixed,37.6537190960,8.1357920621
199510.4230000000,436059.0777000000,131201,126.9944690000,37.4239090000,Gyeonggyi,Gwacheon,Beoryang,Fixed,63.3145980440,60.5232002310
200273.9516000000,438833.3809000000,131202,127.0030960000,37.4489060000,Gyeonggyi,Gwacheon,Gwacheon,Fixed,97.3661147520,34.1416922440
211471.9959000000,454986.3207000000,131211,127.1299000000,37.5943730000,Gyeonggyi,Guri,Gyomun,Fixed,4.2784635412,43.8805817620
212199.3750000000,457671.3035000000,131212,127.1381810000,37.6185550000,Gyeonggyi,Guri,Donggu,Fixed,69.1201937340,36.2982913410
181274.1745000000,438207.6845000000,131233,126.7883910000,37.4430790000,Gyeonggyi,Shiheung,Daeya,Fixed,40.7842653560,20.0431845970
219075.6360000000,459578.6602000000,131241,127.2161170000,37.6356230000,Gyeonggyi,Namyangju,Geumgok,Fixed,43.0136213050,64.1945636350
218053.9590000000,466572.4592000000,131242,127.2047150000,37.6986560000,Gyeonggyi,Namyangju,Onam,Fixed,56.1069068060,73.8305410940
186063.4953000000,458394.8103000000,131381,126.8421290000,37.6250490000,Gyeonggyi,Goyang,Hengshin,Fixed,120.1608126300,51.0714215180
183532.7987000000,465122.9286000000,131382,126.8133100000,37.6856260000,Gyeonggyi,Goyang,Shiksa,Fixed,34.8197268500,49.8278122120
180026.1867000000,461696.3924000000,131383,126.7736493000,37.6546842000,Gyeonggyi,Goyang,Madu,Road,2.2349308431,19.0697487010
175000.8952000000,457789.9337000000,131471,126.7168350000,37.6193650000,Gyeonggyi,Gimpo,Sawoo,Fixed,46.8259142590,12.9156156500
179057.9324000000,456381.2110000000,131472,126.7628290000,37.6067740000,Gyeonggyi,Gimpo,Gochon,Fixed,166.0204105700,30.1237153600
195139.7960000000,428266.4464000000,131501,126.9451430000,37.3536830000,Gyeonggyi,Gunpo,Dangdong,Fixed,49.6809090570,67.2161392150
194242.1302000000,429176.9774000000,131502,126.9350040000,37.3618820000,Gyeonggyi,Gunpo,Sanbon,Fixed,66.1389622650,67.5538285210
218998.4060000000,448893.9703000000,131541,127.2149650000,37.5393570000,Gyeonggyi,Hanam,Shinjang,Fixed,50.0811301610,30.5018290350
182301.4750000000,442324.6123000000,831151,126.7999010000,37.4801930000,Gyeonggyi,Bucheon,Sosa,Fixed,53.1462992600,44.5302630960
179990.5590000000,446739.0603000000,831152,126.7736540000,37.5199200000,Gyeonggyi,Bucheon,Nedong,Fixed,31.5832652270,12.7091110550
179668.1845000000,443856.7053000000,831153,126.7700870000,37.4939430000,Gyeonggyi,Bucheon,Jung2,Fixed,14.8603778860,18.2218477460
181967.7391000000,447662.1776000000,831154,126.7959970000,37.5282780000,Gyeonggyi,Bucheon,Ohjeong,Fixed,70.8348872810,13.0014800480
178611.4761000000,445239.6449000000,831155,126.7580976000,37.5063794000,Gyeonggyi,Bucheon,Gyenam,Road,41.7596354320,7.8766216731
