"","X","Y","Station","Long","Lat","Province","City","Name","F/R","Road_Dist","DEM"
"53",195808.5547,431316.7178,131144,126.952674,37.38117,"Gyeonggyi","Anyang","Hogye","Fixed",20.093957497,46.129692729
"54",192722.3234,433970.0482,131145,126.917801,37.405058,"Gyeonggyi","Anyang","Anyang 2","Fixed",16.934883243,29.175059749
"55",188481.4036,441869.2697,131161,126.869778,37.476188,"Gyeonggyi","Gwangmyeong","Cheolsan","Fixed",12.473758727,19.341409486
"56",189817.7745,439200.4103,131163,126.884923,37.452157,"Gyeonggyi","Gwangmyeong","Soha","Fixed",37.653719096,8.1357920621
"57",199510.423,436059.0777,131201,126.994469,37.423909,"Gyeonggyi","Gwacheon","Beoryang","Fixed",63.314598044,60.523200231
"58",200273.9516,438833.3809,131202,127.003096,37.448906,"Gyeonggyi","Gwacheon","Gwacheon","Fixed",97.366114752,34.141692244
"59",211471.9959,454986.3207,131211,127.1299,37.594373,"Gyeonggyi","Guri","Gyomun","Fixed",4.2784635412,43.880581762
"60",212199.375,457671.3035,131212,127.138181,37.618555,"Gyeonggyi","Guri","Donggu","Fixed",69.120193734,36.298291341
"61",181274.1745,438207.6845,131233,126.788391,37.443079,"Gyeonggyi","Shiheung","Daeya","Fixed",40.784265356,20.043184597
"62",219075.636,459578.6602,131241,127.216117,37.635623,"Gyeonggyi","Namyangju","Geumgok","Fixed",43.013621305,64.194563635
"63",218053.959,466572.4592,131242,127.204715,37.698656,"Gyeonggyi","Namyangju","Onam","Fixed",56.106906806,73.830541094
"64",186063.4953,458394.8103,131381,126.842129,37.625049,"Gyeonggyi","Goyang","Hengshin","Fixed",120.16081263,51.071421518
"65",183532.7987,465122.9286,131382,126.81331,37.685626,"Gyeonggyi","Goyang","Shiksa","Fixed",34.81972685,49.827812212
"66",180026.1867,461696.3924,131383,126.7736493,37.6546842,"Gyeonggyi","Goyang","Madu","Road",2.2349308431,19.069748701
"67",175000.8952,457789.9337,131471,126.716835,37.619365,"Gyeonggyi","Gimpo","Sawoo","Fixed",46.825914259,12.91561565
"68",179057.9324,456381.211,131472,126.762829,37.606774,"Gyeonggyi","Gimpo","Gochon","Fixed",166.02041057,30.12371536
"69",195139.796,428266.4464,131501,126.945143,37.353683,"Gyeonggyi","Gunpo","Dangdong","Fixed",49.680909057,67.216139215
"70",194242.1302,429176.9774,131502,126.935004,37.361882,"Gyeonggyi","Gunpo","Sanbon","Fixed",66.138962265,67.553828521
"71",218998.406,448893.9703,131541,127.214965,37.539357,"Gyeonggyi","Hanam","Shinjang","Fixed",50.081130161,30.501829035
"72",182301.475,442324.6123,831151,126.799901,37.480193,"Gyeonggyi","Bucheon","Sosa","Fixed",53.14629926,44.530263096
"73",179990.559,446739.0603,831152,126.773654,37.51992,"Gyeonggyi","Bucheon","Nedong","Fixed",31.583265227,12.709111055
"74",179668.1845,443856.7053,831153,126.770087,37.493943,"Gyeonggyi","Bucheon","Jung2","Fixed",14.860377886,18.221847746
"75",181967.7391,447662.1776,831154,126.795997,37.528278,"Gyeonggyi","Bucheon","Ohjeong","Fixed",70.834887281,13.001480048
"76",178611.4761,445239.6449,831155,126.7580976,37.5063794,"Gyeonggyi","Bucheon","Gyenam","Road",41.759635432,7.8766216731
